ax,ay,az
0.10,-0.65,1.23
-0.07,1.13,0.31
0.06,1.87,1.46
0.20,-0.69,1.72
-0.29,1.14,0.13
0.23,1.38,2.00
0.08,-1.73,0.94
-0.41,0.73,0.05
0.19,0.18,1.97
-0.10,-1.88,0.96
-0.60,0.49,0.27
0.30,-0.71,2.00
-0.10,-2.00,0.64
-0.65,0.02,0.07
0.33,-1.08,2.00
0.05,-2.00,0.91
-0.45,0.59,0.70
0.29,-0.55,1.43
0.13,-1.41,0.89
-0.55,1.53,0.52
0.32,-0.99,1.34
-0.02,-0.96,0.65
-0.14,1.20,1.34
0.14,-0.37,1.20
0.09,0.24,0.29
0.00,2.00,1.51
0.16,-0.10,1.30
-0.06,1.01,0.49
0.14,2.00,1.97
0.19,-0.88,1.31
-0.09,1.30,0.33
0.12,1.96,1.76
0.14,-1.04,1.42
-0.23,1.32,0.33
0.24,0.36,2.00
-0.19,-1.77,0.77
-0.46,0.03,0.14
0.35,-0.17,2.00
0.03,-2.00,0.78
-0.61,0.33,0.23
0.32,-0.52,2.00
-0.01,-2.00,0.80
-0.62,0.07,0.32
0.28,-1.40,2.00
0.03,-2.00,0.84
-0.54,0.77,0.53
0.37,-0.84,1.69
0.05,-1.58,0.96
-0.20,1.42,0.91
0.05,-0.64,0.73
0.09,-0.58,0.59
-0.14,2.00,1.41
0.31,-0.02,1.42
0.12,1.04,0.53
-0.07,2.00,1.63
0.20,-0.76,1.38
0.03,1.24,0.38
0.19,1.99,1.78
0.04,-0.68,1.38
-0.24,1.31,0.16
0.15,1.86,1.74
-0.00,-1.22,1.14
-0.37,0.55,0.09
0.13,0.27,1.80
0.06,-2.00,1.08
-0.42,0.45,0.43
0.33,-0.54,2.00
-0.18,-1.94,0.60
-0.70,0.05,0.12
0.33,-1.39,2.00
0.01,-2.00,1.02
-0.42,0.48,0.74
0.26,-0.79,1.32
0.16,-1.33,0.92
-0.39,1.84,0.72
0.29,-0.38,1.37
-0.07,-0.63,0.43
-0.13,1.85,1.35
0.15,-0.64,0.87
0.11,0.70,0.61
0.08,2.00,1.58
0.12,-0.41,1.28
-0.11,1.17,0.32
0.12,1.71,1.71
0.13,-0.81,1.64
-0.11,1.07,0.31
0.25,1.94,1.94
0.11,-1.29,1.38
-0.32,1.14,-0.08
-0.02,0.54,1.80
0.03,-2.00,0.70
-0.57,0.16,0.21
0.26,-0.95,2.00
0.01,-1.85,0.90
-0.65,0.18,0.03
0.48,-0.89,2.00
0.06,-2.00,0.91
-0.46,0.53,0.60
0.34,-0.94,1.50
-0.02,-1.47,0.82
-0.40,1.90,0.79
0.20,-0.62,0.93
0.03,-0.11,0.48
0.01,2.00,1.63
0.20,-0.64,1.25
0.04,0.93,0.53
0.16,2.00,1.60
0.09,-0.16,1.56
-0.11,1.08,0.41
0.07,1.16,1.96
-0.07,-1.76,0.75
-0.44,0.62,0.13
0.14,0.16,1.95
0.03,-1.87,0.87
-0.64,0.79,0.14
0.43,-0.98,2.00
-0.15,-2.00,0.77
-0.55,-0.16,0.11
0.41,-1.12,2.00
-0.01,-2.00,1.05
-0.46,1.14,0.61
0.33,-0.70,1.08
0.01,-1.01,0.74
-0.22,2.00,1.20
0.17,-0.77,1.01
0.11,0.60,0.49
0.07,2.00,1.71
0.17,-0.24,1.64
-0.05,1.41,0.26
0.02,1.50,1.54
0.01,-0.82,1.32
-0.29,0.99,0.36
0.26,1.22,2.00
-0.02,-1.63,0.82
-0.43,0.71,0.07
0.26,-0.20,2.00
-0.08,-2.00,0.82
-0.63,0.05,0.15
0.46,-1.22,2.00
-0.14,-1.95,1.00
-0.62,0.29,0.22
0.30,-1.19,1.72
0.10,-1.86,1.05
-0.25,1.46,1.08
0.11,-0.24,0.84
0.18,0.17,0.49
-0.09,2.00,1.52
0.20,-0.30,1.30
-0.01,0.94,0.40
0.10,1.93,1.86
0.22,-0.73,1.42
-0.13,1.41,0.36
0.08,1.93,1.36
0.01,-0.53,1.36
-0.24,1.05,0.16
0.30,0.61,2.00
-0.05,-2.00,0.69
-0.46,0.18,0.28
0.28,-0.46,2.00
-0.03,-2.00,0.95
-0.68,0.26,0.22
0.33,-1.65,2.00
-0.05,-2.00,1.00
-0.46,0.32,0.48
0.28,-0.83,1.51
0.21,-1.13,0.85
-0.31,1.91,0.82
0.19,-0.21,0.75
