ax,ay,az
-0.01,0.02,1.03
0.01,-0.02,1.07
-0.03,0.10,0.98
-0.04,-0.10,1.04
-0.01,-0.01,0.96
-0.02,0.02,1.00
0.01,-0.03,1.09
-0.05,0.13,0.92
0.01,-0.07,1.15
-0.01,-0.03,1.16
0.01,0.07,0.93
0.05,-0.20,1.13
-0.02,0.03,1.08
-0.01,-0.10,1.10
-0.05,-0.04,1.05
-0.09,0.18,0.91
0.13,-0.10,1.25
0.04,-0.02,1.03
-0.03,0.05,1.03
-0.09,-0.29,1.13
-0.04,0.19,0.99
-0.04,0.14,1.09
0.05,-0.17,1.22
-0.05,0.07,1.00
0.01,-0.18,1.10
0.06,-0.20,1.09
-0.05,0.18,1.07
-0.16,-0.01,0.93
-0.09,0.17,1.06
0.00,0.12,1.19
-0.03,-0.08,1.05
-0.04,-0.07,1.06
-0.07,-0.37,1.03
-0.07,0.05,1.13
-0.08,-0.01,1.06
-0.01,0.01,1.06
-0.01,0.34,1.10
0.01,-0.09,1.03
0.02,-0.13,1.08
-0.06,-0.08,0.93
-0.02,-0.19,1.13
-0.06,0.15,1.15
-0.04,0.16,1.14
-0.01,-0.18,1.16
-0.06,0.06,0.98
-0.03,-0.15,1.04
0.00,-0.27,1.20
-0.03,0.26,1.03
-0.03,0.01,1.02
-0.03,-0.14,1.11
-0.03,0.20,1.01
0.03,-0.03,1.03
-0.03,-0.20,1.02
0.01,0.05,1.11
-0.10,-0.05,0.98
-0.08,-0.18,1.05
0.06,0.16,1.23
-0.07,0.01,0.99
-0.08,-0.19,1.05
-0.00,0.14,1.18
-0.05,0.05,1.05
0.01,-0.13,1.23
-0.08,0.01,1.05
-0.05,0.06,0.98
0.06,-0.15,1.14
-0.05,-0.18,1.03
-0.05,0.32,1.16
-0.10,-0.22,1.03
-0.10,-0.07,1.08
0.04,0.29,1.24
-0.10,-0.24,0.97
-0.06,-0.08,1.10
0.03,0.30,1.22
-0.04,-0.27,1.07
0.07,-0.02,1.15
0.02,0.05,1.09
0.01,-0.24,0.99
-0.06,0.02,1.03
-0.01,0.06,1.09
-0.02,-0.09,1.18
-0.07,0.05,0.99
0.01,-0.10,1.02
0.04,-0.02,1.12
-0.02,-0.03,1.00
-0.02,-0.03,1.11
-0.04,0.03,1.07
